latitude,longitude,vegetation_height_m,terrain_height_m,canopy_height_m,measurement_date,distance_from_query_km,cached_at,has_data
34.22450706193537,-118.19385258401608,1.752741646317978e-24,1.7838529450854918e-42,1.752741646317978e-24,Unknown,0.7034373604765438,2026-02-21T18:29:59.956781,
34.194960217318645,-118.1733131699753,4.6830912527720034e-30,2.9416057363106555e-41,4.6830912527720034e-30,Unknown,2.779143021557758,2026-02-21T18:30:04.152094,
34.217818621234066,-118.17596364404054,4.005758516351551e-38,1.210721873176642e-42,4.0058795885388685e-38,Unknown,0.7581042510034967,2026-02-21T18:30:07.831840,
34.203493274101184,-118.15581598418548,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,1.4508306484860427,2026-02-21T18:30:12.004011,
34.190939155658135,-118.17284426200598,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,3.510718723170786,2026-02-21T18:30:15.321562,
34.19145147822343,-118.13826167548356,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,2.577170745753512,2026-02-21T18:30:18.623620,
34.203759644976195,-118.15584612505803,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,2.5240074090168583,2026-02-21T18:30:22.881126,
34.20480681653165,-118.13981787043863,9.178909802370903e-15,1.846911375980109e-42,9.178909802370903e-15,Unknown,1.6862191869023035,2026-02-21T18:30:26.170742,
34.00778062999614,-118.1871307848239,2.621205098785611e-29,2.0879347118439774e-43,2.621205098785611e-29,Unknown,0.8704047148923467,2026-02-21T18:30:56.836371,
33.99305913432158,-118.18447697021438,7.465292789003719e-34,1.933791880768248e-43,7.465292789003719e-34,Unknown,0.5144765876630856,2026-02-21T18:31:00.554279,
34.04895325924442,-118.1217500550916,2.902792498152328e-17,1.769839960442244e-42,2.902792498152328e-17,Unknown,2.564660295137269,2026-02-21T18:31:51.972314,
34.027195717601785,-118.11923306329707,1.934789222131417e-30,2.9416057363106555e-41,1.934789222131417e-30,Unknown,2.879076422291117,2026-02-21T18:31:55.336581,
34.02372574136413,-118.11972090408791,2.211019345153452e-26,2.9416057363106555e-41,2.211019345153452e-26,Unknown,2.319541516566707,2026-02-21T18:31:59.339923,
34.01293766489015,-118.23740388552532,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,2.1190530779525907,2026-02-21T18:32:03.210121,
34.04774398187374,-118.15716548859072,7.426361213653893e-27,1.2583660209636857e-42,7.426361213653893e-27,Unknown,0.4624684068804817,2026-02-21T18:32:06.852480,
34.04847601218643,-118.17357551969909,1.5923795229201491e-40,1.877739942195255e-42,1.6111569223421015e-40,Unknown,0.775432587992856,2026-02-21T18:32:10.323959,
34.056647483847264,-118.01210749167284,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,2.531291632197505,2026-02-21T18:32:13.822074,
34.05711484606288,-118.04577131392848,2.6089176657404203e-29,3.236999452590328e-42,2.6089176657404203e-29,Unknown,1.095121538431152,2026-02-21T18:32:17.150480,
34.08652881147827,-118.04355370232862,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,3.045042207907227,2026-02-21T18:32:20.592245,
34.07024372468995,-118.04447497813308,1.752773200754187e-24,8.280272625695344e-42,1.752773200754187e-24,Unknown,1.5058356260944303,2026-02-21T18:32:24.864438,
